Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Quantitative Genomic DNA from Atopobium vaginae (ATCC BAA-55DQ),$578.00 ,$578.00 ,seqeunce available,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC??Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/BAA-55DQ.ashx,,,,
Quantitative Genomic DNA from Candida tropicalis (ATCC 750DQ),$541.00 ,$541.00 ,seqeunce available,NA,Quantitative Genomic DNA from Candida tropicalis,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine fungal load and for other molecular biology applications.",https://www.atcc.org/~/ps/750DQ.ashx,,,,
Streptobacillus moniliformis Levaditi et al. (ATCC 14647D-2),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Streptobacillus moniliformis strain 9901 [ATCC14647],1,dried Total DNA: At least 2 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/14647D-2.ashx,,,,
Kocuria rhizophila Kovacs et al. (ATCC 9341-MINI-PACK),$252.00 ,$214.20 ,seqeunce available,Sarcina lutea (Schroeter) Schroeter,FDA strain PCI 1001,1,frozen 6 ready-to-use vials of ATCC 9341 in glycerol stock,ATCC  18: Trypticase Soy Agar/Broth,"Temperature:??30Celsius 
Atmosphere:??Aerobic","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.",NA,NA,"ATCC 9341-MINI-PACK consists of 6 ready-to-use vials of ATCC 9341 frozen in 200 ??L of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.?? Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing ?€? ensuring the same consistent and reliable reference materials you?€?ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis ?€? just open, plate, and go! .

Assay of amoxicillin
Assay of ampicillin
Assay of clindamycin
Assay of cyclacillin
Assay of erythromycin
Assay of fungicide residues
Assay of lincomycin
Assay of novobiocin
Assay of oleandomycin
Assay of penicillamine
Food testing
Pharmaceutical and Personal Care
Assay of penicillin
Assay of rifamycin
Assay of tylosin
Media testing
Membrane filter testing
Produces 6-aminopenicillanic acid
Produces L-sorbosone
Quality control strain
Sterility testing
Susceptibility disc testing chloramphenicol
Susceptibility disc testing doxycycline hydramycin
Susceptibility disc testing tetracycline",https://www.atcc.org/~/ps/9341-MINI-PACK.ashx,,,,
Bacteroides vulgatus Eggerth and Gagnon (ATCC 8482-MINI-PACK),$234.00 ,$198.90 ,NA,NA,[NCTC 11154],2,frozen 6 ready-to-use vials of ATCC 8482 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic","-70Celsius  or colder, store upright",NA,NA,"ATCC 8482-MINI-PACK consists of 6 ready-to-use vials of ATCC 8482 frozen in 200 ??L of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.?? Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing ?€? ensuring the same consistent and reliable reference materials you?€?ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis ?€? just open, plate, and go! .Media testing
Quality control strain
Sterility testing
Pharmaceutical and Personal Care",https://www.atcc.org/~/ps/8482-MINI-PACK.ashx,,,,
Acholeplasma laidlawii (Sabin) Edward and Freundt (ATCC 23206-MINI-PACK),$252.00 ,$214.20 ,NA,Mycoplasma laidlawii (Sabin) Prevot,"PG8 [NCTC 10116, PG8; A]",1,frozen 6 ready-to-use vials of ATCC 23206 in glycerol stock,ATCC  243: Mycoplasma medium,"Temperature: 37Celsius 
Atmosphere: Broth: Aerobic, Agar: 5% CO2","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.",NA,NA,"ATCC 23206-MINI-PACK consists of 6 ready-to-use vials of ATCC 23206 frozen in 200 ??L of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.?? Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing ?€? ensuring the same consistent and reliable reference materials you?€?ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis ?€? just open, plate, and go! .

Control strain
Pharmaceutical and Personal Care",https://www.atcc.org/~/ps/23206-MINI-PACK.ashx,,,,
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 13124-MINI-PACK),$252.00 ,$214.20 ,seqeunce available,NA,"NCTC 8237 [ATCC 19408, CIP 103 409, CN 1491, NCIB 6125, NCTC 6125, S 107]",2,frozen 6 ready-to-use vials of ATCC 13124 in glycerol stock,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius Atmosphere: Anaerobic,"-70Celsius  or colder, store upright",NA,NA,"ATCC 13124-MINI-PACK consists of 6 ready-to-use vials of ATCC 13124 frozen in 200 ??L of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.?? Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing ?€? ensuring the same consistent and reliable reference materials you?€?ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis ?€? just open, plate, and go! 
Media testingProduces hemolysinsProduces lethal toxinsProduces phospholipase C lecithinase CQuality control strainReference materialControl strain for anaerobe identificationQuality control strain for API, BBL, and MicroScan [Reg TM] productsWater testing",https://www.atcc.org/~/ps/13124-MINI-PACK.ashx,,,,
Staphylococcus epidermidis (Winslow and Winslow) Evans (ATCC 12228-MINI-PACK),$252.00 ,$214.20 ,seqeunce available,NA,FDA strain PCI 1200,1,frozen 6 ready-to-use vials of ATCC 12228 in glycerol stock,ATCC  3: Nutrient agar or nutrient broth,"Temperature:??37Celsius 
Atmosphere:??Aerobic","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.",NA,NA,"ATCC 12228-MINI-PACK consists of 6 ready-to-use vials of ATCC 12228 frozen in 200 ??L of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.?? Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing ?€? ensuring the same consistent and reliable reference materials you?€?ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis ?€? just open, plate, and go! .


Food testing
Pharmaceutical and Personal Care
Assay of gentamicin??RefEuropean Pharmacopoeia Commission Microbiological assay of antibiotics. Strasbourg, France:European Pharmacopoeia Commission;European Pharmacopoeia EP 2.7.2, 1997??RefU.S. Pharmacopeia General Chapters; <81> Antibiotics-Microbial Assays. Rockville, MD: U.S. Pharmacopeia; USP USP34-NF29, 2011
Assay of neomycin??RefU.S. Pharmacopeia General Chapters; <81> Antibiotics-Microbial Assays. Rockville, MD: U.S. Pharmacopeia; USP USP34-NF29, 2011??RefAOAC International Antibiotics in feeds, microbiological methods. Gaithersburg, MD:AOAC International;AOAC ""Official Methods of Analysis of the AOAC International"" 957.23.??Ref Neomycin in Feeds -- Stahl Microbiological Agar Diffusion Assay. Gaithersburg, MD:AOAC International;AOAC ""Official Methods of Analysis of the AOAC International"" 998.02.
Assay of netilmycin??RefU.S. Pharmacopeia General Chapters; <81> Antibiotics-Microbial Assays. Rockville, MD: U.S. Pharmacopeia; USP USP34-NF29, 2011
Assay of novobiocin??RefU.S. Pharmacopeia General Chapters; <81> Antibiotics-Microbial Assays. Rockville, MD: U.S. Pharmacopeia; USP USP34-NF29, 2011RefAOAC International Antibiotics in feeds, microbiological methods. Gaithersburg, MD:AOAC International;AOAC ""Official Methods of Analysis of the AOAC International"" 957.23.
Assay of oleandomycin
Assay of paromomycin aminosidine, catenulin??RefU.S. Pharmacopeia General Chapters; <81> Antibiotics-Microbial Assays. Rockville, MD: U.S. Pharmacopeia; USP USP34-NF29, 2011
Assay of sisomicin??RefU.S. Pharmacopeia General Chapters; <81> Antibiotics-Microbial Assays. Rockville, MD: U.S. Pharmacopeia; USP USP34-NF29, 2011
Inhibition testing??Ref Standard Test Method for Evaluation of Antimicrobial Formulations by the Agar Patch Technique. West Conshohocken, PA:ASTM International;ASTM Standard Test Method E 1882-05.
Media testing??Ref Quality Control for Commercially Prepared Microbiological Culture Media; Approved Standard - 3rd Edition. Wayne, PA. Clinical and Laboratory Standards Institute; CLSI M22-A3.??Ref Microbiology of food and animal feeding stuffs--Guidelines on preparation and production of culture media-- Part 2: Practical guidelines on performance testing of culture media.. Geneva (Switzerland):International Organization for Standardization/ANSI;ISO ISO 11133-2:2003.??Ref Microbiology of food and animal feeding stuffs --- Guidelines on preparation and production of culture media --- Part 2: Practical guidelines on performance testing of culture media - Annex B: Recommended test microorganisms for commonly used culture media. London, UK:British Standards Institution;British Standard DD CEN ISO/TS 11133:2003.
Quality control strain??Ref Applied Biosystems, MicroSeq Pharmaceutical Validation Panel.??Ref BD Crystal Gram-Positive QC Set. BD Becton Dickinson; Crystal ??Ref Applied Biosystems, MicroSeq PHL Panel.
Sterility testing
Susceptibility disc testing neomycin
Susceptibility disc testing vancomycin??RefZhang YQ, et al. Genome-based analysis of virulence genes in a non-biofilm-forming Staphylococcus epidermidis strain (ATCC 12228). Mol. Microbiol. 49: 1577-1593, 2003. PubMed: 12950922",https://www.atcc.org/~/ps/12228-MINI-PACK.ashx,,,,
Bacillus cereus Frankland and Frankland (ATCC 10876-MINI-PACK),$252.00 ,$214.20 ,seqeunce available,NA,NRRL B-569,1,frozen 6 ready-to-use vials of ATCC 10876 in glycerol stock,ATCC  3: Nutrient agar or nutrient broth,"Temperature:??30Celsius 
Atmosphere:??Aerobic","-70Celsius  or colder, store upright. Storage at -20Celsius  is acceptable for up to 1 year.",NA,NA,"ATCC 10876-MINI-PACK consists of 6 ready-to-use vials of ATCC 10876 frozen in 200 ??L of glycerol stock, eliminating the need to rehydrate and culture the strain prior to use. Each vial is provided with a 2-D barcode for easy storage and tracking, as well as peel-off labels for fast and reliable recordkeeping.?? Learn more about ATCC MinisDeveloped by the leaders in microbial cultivation and preservation, ATCC Minis provide a convenient, ready-to-use solution for handling quality control strains. ATCC Minis are authenticated and backed by ATCC polyphasic testing ?€? ensuring the same consistent and reliable reference materials you?€?ve come to trust for ATCC Genuine Cultures. It is easy to ensure the quality of your products with ATCC Minis ?€? just open, plate, and go! .",https://www.atcc.org/~/ps/10876-MINI-PACK.ashx,,,,
Campylobacter concisus Tanner et al. (ATCC BAA-1457D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Campylobacter concisus strain RM 5485 [ATCC BAA-1457],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1457D-5.ashx,,,,
Capnocytophaga ochracea Leadbetter et al. (ATCC 27872),$550.00 ,$467.50 ,NA,Bacteroides ochraceus (Prevot) Holdeman and Moore,VPI 2845 [SS31],2,freeze-dried,ATCC  593: Chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Characterization,https://www.atcc.org/~/ps/27872.ashx,,,,
Methanosarcina mazei (Barker) Mah and Kuhn (ATCC BAA-159D-5),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Methanosarcina mazei strain DSM 3647 [ATCC BAA-159],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-159D-5.ashx,,,,
Haemophilus influenzae (Lehmann and Neumann) Winslow et al. (ATCC 51907),$402.00 ,$341.70 ,seqeunce available,NA,Rd [KW20],1,freeze-dried,ATCC  814: GC Agar/Broth,Temperature: 37Celsius Atmosphere: 5% CO2,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/51907.ashx,,,,
Desulfovibrio vulgaris subsp. vulgaris Postgate and Campbell (ATCC 29579),$402.00 ,$341.70 ,seqeunce available,NA,"NCIB 8303 [DSM 644, Hildenborough]",1,freeze-dried,ATCC  1249: Modified Baar's medium for sulfate reducers,"Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/29579.ashx,,,,
Pseudomonas syringae van Hall pathovar phaseolicola (ATCC BAA-978),$550.00 ,$467.50 ,NA,NA,1448A,1,frozen,ATCC  2441: King's  B with 50 mcg/mL rifampicin,Temperature: 23.0Celsius Atmosphere: aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-978.ashx,,,,
Segniliparus rotundus Butler et al. (ATCC BAA-972),$550.00 ,$467.50 ,NA,NA,"CDC 1076 [CIP 108378, DSM 44985, JCM 13578]",2,freeze-dried,ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment,Temperature: 30.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-972.ashx,,,,
Streptococcus pyogenes Rosenbach (ATCC BAA-947D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain MGAS 5005 (ATCC BAA-947),1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-947D-5.ashx,,,,
Thermoanaerobacter sp. (ATCC BAA-938D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from strain X514 (ATCC BAA-938),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-938D-5.ashx,,,,
Mycobacterium bovis Karlson and Lessel (ATCC BAA-935),"$1,238.00 ","$1,052.30 ",NA,NA,AF 2122/97,3,frozen,NA,Temperature: 37.0Celsius Atmosphere: aerobic,NA,NA,NA,NA,https://www.atcc.org/en/My_Profile.aspx?sc_device=modal&streamfile=/~/ps/BAA-935.ashx&reloadafterclose=true,,,,
Salinispora tropica (ATCC BAA-916D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Salinispora tropica strain CNB-440 [ATCC BAA-916],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-916D-5.ashx,,,,
Rhizobium vitis (Ophel and Kerr) Young et al. (ATCC BAA-846D),$550.00 ,$550.00 ,NA,NA,Genomic DNA from Rhizobium vitis strain S4 [ATCC BAA-846],1,dried Total DNA: 10 ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-846D.ashx,,,,
Mycobacterium caprae Aranaz et al. (ATCC BAA-824),"$1,238.00 ","$1,052.30 ",NA,NA,gM-1 [CIP 105776],3,frozen,ATCC  2455: Middlebrook 7H9 with OADC-Pyruvate-Tryptone,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/en/My_Profile.aspx?sc_device=modal&streamfile=/~/ps/BAA-824.ashx&reloadafterclose=true,,,,
Deinococcus radiodurans (ex Raj et al.) Brooks and Murray (ATCC BAA-816D),$550.00 ,$550.00 ,seqeunce available,Deinococcus radiodurans Brooks and Murray,"Genomic DNA from  USUHS
                                                
                                            (genomic DNA from genome sequencing strain)",1,dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-816D.ashx,,,,
Deinococcus radiodurans (ex Raj et al.) Brooks and Murray (ATCC BAA-816D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Deinococcus radiodurans strain USUHS [ATCC BAA-816],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/BAA-816D-5.ashx,,,,
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC BAA-808D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Rhodobacter sphaeroides strain 2.4.1 [ATCC BAA-808],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-808D-5.ashx,,,,
Polaromonas naphthalenivorans (ATCC BAA-779),$550.00 ,$467.50 ,NA,Coccomonas naphthalovorans,CJ2,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-779.ashx,,,,
Thermobaculum terrenum (ATCC BAA-798D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Thermobaculum terrenum strain YNP1 (ATCC BAA-798),1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-798D-5.ashx,,,,
"NGS-Ready DNA from Staphylococcus saprophyticus, strain Vitek #8935 (ATCC BAA-750DX)",$706.00 ,$706.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-750DX.ashx,,,,
Idiomarina loihiensis Donachie et al. (ATCC BAA-735D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Idiomarina loihiensis strain L2-TR [ATCC BAA-735],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-735D-5.ashx,,,,
Colwellia psychrerythraea (D'Aoust and Kushner) Deming et al. (ATCC BAA-681D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Colwellia psychrerythraea strain 34H [ATCC BAA-681],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-681D-5.ashx,,,,
